                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9749,                 5.1979,                 1.5471,                0.32751,                0.46818,                0.28944,                0.16968,                 1.3144,                 2.1922,                 1.2283,               0.070698,              0.0032558,              0.0032558
                      1,                  1.231,                 1.9803,                  1.083,                0.47351,                0.62866,                0.54763,                0.34522,                  1.184,                 1.6504,                 1.1602,               0.040676,              0.0065674,              0.0065674
                      2,                 1.2784,                 1.8015,                 1.1097,                0.62107,                0.69901,                0.72426,                0.44747,                 1.2465,                 1.4378,                 1.2152,               0.010632,               0.009857,               0.009857
                      3,                 1.3259,                 1.4913,                 1.1359,                0.63529,                0.78963,                0.81276,                0.50225,                 1.2013,                 1.3057,                 1.1384,               0.009901,               0.009901,               0.009901
                      4,                 1.2383,                 1.2637,                 1.1114,                0.83979,                0.80786,                0.89149,                0.58958,                 1.1488,                  1.039,                  1.155,               0.009901,               0.009901,               0.009901
                      5,                 1.2371,                 1.0445,                 1.1065,                0.90594,                0.87673,                 0.9434,                0.53416,                 1.3132,                0.92941,                  1.234,               0.009868,               0.009868,               0.009868
                      6,                 1.2287,                 0.9556,                 1.1037,                0.83665,                0.89377,                0.95123,                0.62894,                 1.1266,                0.88363,                 1.1275,               0.009835,               0.009835,               0.009835
                      7,                 1.2271,                0.90104,                 1.1018,                0.89177,                0.89978,                0.93601,                 0.5964,                 1.1551,                0.78956,                  1.149,               0.009802,               0.009802,               0.009802
                      8,                 1.2097,                 0.8365,                 1.0786,                0.88044,                0.86283,                 0.9281,                0.61031,                 1.1442,                0.83551,                 1.1429,               0.009769,               0.009769,               0.009769
                      9,                 1.1896,                0.82516,                 1.0871,                0.90879,                 0.9171,                0.95948,                0.63685,                 1.1678,                0.75277,                  1.169,               0.009736,               0.009736,               0.009736
                     10,                 1.1886,                0.80199,                  1.077,                0.92326,                 0.9385,                 0.9682,                0.66367,                 1.0937,                0.65789,                 1.1367,               0.009703,               0.009703,               0.009703
                     11,                  1.169,                0.79808,                 1.0812,                0.90198,                0.91797,                0.95273,                0.56867,                 1.2843,                0.77317,                  1.202,                0.00967,                0.00967,                0.00967
                     12,                  1.184,                0.76003,                 1.0764,                0.93345,                0.93567,                0.97743,                  0.632,                 1.1413,                0.69874,                 1.1487,               0.009637,               0.009637,               0.009637
                     13,                 1.1269,                0.75844,                 1.0687,                0.95563,                0.94011,                 0.9833,                0.65812,                 1.1332,                0.69192,                 1.1432,               0.009604,               0.009604,               0.009604
                     14,                 1.1354,                0.74485,                 1.0812,                0.93752,                0.91369,                0.96883,                0.66423,                 1.0865,                0.68026,                 1.1242,               0.009571,               0.009571,               0.009571
                     15,                 1.1372,                0.74988,                 1.0665,                0.96646,                 0.9553,                0.98578,                0.65175,                   1.15,                0.62708,                 1.1416,               0.009538,               0.009538,               0.009538
                     16,                 1.1422,                0.73614,                 1.0737,                0.96407,                0.93475,                0.98498,                0.66302,                 1.1296,                0.60591,                 1.1551,               0.009505,               0.009505,               0.009505
                     17,                 1.1155,                0.68907,                 1.0725,                0.95109,                0.94286,                0.98391,                0.67426,                 1.1056,                0.59485,                 1.1432,               0.009472,               0.009472,               0.009472
                     18,                 1.1167,                0.70835,                 1.0648,                0.92914,                0.85074,                0.93268,                0.63565,                 1.0932,                0.72505,                 1.1354,               0.009439,               0.009439,               0.009439
                     19,                 1.1147,                0.68877,                 1.0572,                0.92892,                0.93694,                0.97292,                0.65265,                 1.0999,                0.63435,                 1.1527,               0.009406,               0.009406,               0.009406
                     20,                  1.125,                0.68464,                 1.0777,                0.95137,                0.89947,                0.97114,                0.64093,                  1.154,                0.64228,                 1.1621,               0.009373,               0.009373,               0.009373
                     21,                 1.1117,                0.65564,                 1.0601,                0.96277,                0.94835,                0.98475,                0.67557,                 1.1045,                0.56492,                 1.1574,                0.00934,                0.00934,                0.00934
                     22,                 1.1022,                0.66087,                 1.0586,                0.97147,                0.93257,                 0.9815,                0.65845,                  1.171,                0.55558,                 1.1704,               0.009307,               0.009307,               0.009307
                     23,                 1.0814,                0.62807,                 1.0523,                0.95035,                 0.9486,                 0.9816,                0.68052,                 1.1447,                0.55069,                 1.1455,               0.009274,               0.009274,               0.009274
                     24,                 1.0957,                0.64831,                 1.0409,                0.94096,                0.95606,                 0.9793,                0.66154,                 1.0818,                0.55175,                 1.1289,               0.009241,               0.009241,               0.009241
                     25,                 1.0644,                0.63686,                  1.052,                0.98003,                0.94999,                0.98712,                0.65946,                 1.1332,                0.54491,                 1.1419,               0.009208,               0.009208,               0.009208
                     26,                 1.0802,                0.63932,                  1.061,                0.97842,                0.93371,                0.98348,                0.67265,                 1.0632,                0.54155,                 1.1197,               0.009175,               0.009175,               0.009175
                     27,                 1.0994,                0.62995,                 1.0423,                0.96821,                0.97503,                0.98951,                0.68871,                 1.0814,                0.53458,                 1.1122,               0.009142,               0.009142,               0.009142
                     28,                 1.0894,                0.62192,                 1.0496,                0.96506,                0.94131,                0.98345,                0.66229,                 1.0979,                0.53658,                  1.141,               0.009109,               0.009109,               0.009109
                     29,                 1.0464,                0.60184,                 1.0206,                0.96279,                0.93717,                0.98109,                0.64648,                  1.164,                0.62816,                 1.1562,               0.009076,               0.009076,               0.009076
                     30,                  1.074,                0.61257,                 1.0514,                0.96987,                0.92262,                0.97716,                0.65187,                 1.1325,                0.56288,                 1.1647,               0.009043,               0.009043,               0.009043
                     31,                 1.0762,                0.62301,                 1.0489,                0.95472,                 0.9665,                0.98713,                0.68988,                 1.0637,                0.51459,                 1.1196,                0.00901,                0.00901,                0.00901
                     32,                 1.0724,                0.60037,                  1.056,                0.95428,                0.94287,                0.98173,                0.68766,                 1.0851,                0.53269,                 1.1203,               0.008977,               0.008977,               0.008977
                     33,                 1.0668,                0.60914,                  1.063,                0.95061,                0.94494,                0.98552,                0.67649,                 1.0951,                0.55917,                 1.1258,               0.008944,               0.008944,               0.008944
                     34,                 1.0737,                0.62101,                 1.0398,                0.95038,                0.96225,                0.98903,                0.66478,                 1.1269,                0.55034,                 1.1418,               0.008911,               0.008911,               0.008911
                     35,                 1.0701,                0.61209,                 1.0452,                0.97527,                0.96847,                0.98625,                0.70239,                 1.0711,                0.51053,                 1.1167,               0.008878,               0.008878,               0.008878
                     36,                 1.0255,                0.59097,                 1.0272,                0.96099,                0.98416,                 0.9895,                0.69964,                 1.0547,                0.48012,                 1.1126,               0.008845,               0.008845,               0.008845
                     37,                 1.0426,                0.57467,                 1.0316,                0.95522,                 0.9763,                0.97856,                0.68148,                 1.0934,                0.52654,                 1.1195,               0.008812,               0.008812,               0.008812
                     38,                  1.049,                0.59038,                 1.0428,                0.97207,                 0.9708,                0.98605,                0.68874,                 1.0501,                0.53238,                 1.1148,               0.008779,               0.008779,               0.008779
                     39,                 1.0436,                0.59149,                  1.047,                0.97569,                0.95834,                0.99064,                0.70457,                 1.0738,                 0.4713,                 1.1133,               0.008746,               0.008746,               0.008746
                     40,                 1.0474,                0.56841,                 1.0422,                0.94247,                0.96737,                0.98746,                0.69874,                 1.0751,                 0.5235,                 1.1186,               0.008713,               0.008713,               0.008713
                     41,                 1.0454,                0.56484,                 1.0377,                0.94777,                0.94543,                0.97779,                 0.6969,                 1.0416,                0.53547,                 1.1043,                0.00868,                0.00868,                0.00868
                     42,                 1.0173,                0.55739,                 1.0154,                 0.9745,                0.93975,                0.98561,                 0.7028,                 1.0674,                0.51964,                 1.1011,               0.008647,               0.008647,               0.008647
                     43,                 1.0134,                0.57873,                 1.0197,                0.96385,                0.97699,                0.98857,                 0.7001,                 1.0532,                0.49176,                 1.1175,               0.008614,               0.008614,               0.008614
                     44,                 1.0309,                0.56509,                 1.0298,                0.96504,                0.96282,                0.98364,                0.66836,                 1.0999,                0.50473,                 1.1268,               0.008581,               0.008581,               0.008581
                     45,                 1.0176,                0.55983,                 1.0269,                0.98201,                0.96596,                0.98907,                0.69707,                 1.0911,                 0.4865,                 1.1107,               0.008548,               0.008548,               0.008548
                     46,                 1.0145,                0.55535,                 1.0311,                0.94321,                0.96053,                0.98561,                0.69508,                 1.0918,                0.50605,                 1.1223,               0.008515,               0.008515,               0.008515
                     47,                 1.0138,                0.54371,                 1.0213,                0.97328,                0.95221,                0.98798,                0.69662,                 1.0496,                0.49509,                 1.1135,               0.008482,               0.008482,               0.008482
                     48,                  1.023,                0.54577,                  1.033,                0.96402,                0.96157,                0.98966,                0.71153,                 1.0302,                0.48419,                 1.1009,               0.008449,               0.008449,               0.008449
                     49,                 1.0123,                 0.5491,                 1.0297,                 0.9654,                0.95192,                0.98422,                0.67886,                 1.0837,                0.52759,                 1.1111,               0.008416,               0.008416,               0.008416
                     50,                 1.0202,                0.54633,                 1.0239,                0.97877,                0.95061,                0.98884,                0.71088,                 1.0847,                0.48691,                 1.1049,               0.008383,               0.008383,               0.008383
                     51,                 1.0112,                0.55058,                  1.016,                0.96837,                0.96254,                0.98707,                0.70324,                 1.0425,                0.48286,                 1.1076,                0.00835,                0.00835,                0.00835
                     52,                 1.0035,                0.54083,                 1.0257,                0.96355,                0.95818,                0.98602,                0.69506,                 1.0684,                0.48888,                 1.1127,               0.008317,               0.008317,               0.008317
                     53,                0.98943,                0.54806,                 1.0281,                0.96459,                0.96924,                0.98674,                 0.6949,                  1.074,                0.47558,                 1.1091,               0.008284,               0.008284,               0.008284
                     54,                 1.0021,                0.54428,                 1.0185,                0.95799,                0.96194,                0.98328,                 0.7045,                 1.0616,                0.48245,                 1.1083,               0.008251,               0.008251,               0.008251
                     55,                 1.0162,                 0.5422,                 1.0223,                0.97062,                0.96474,                0.98661,                0.70644,                 1.0745,                0.45868,                 1.0996,               0.008218,               0.008218,               0.008218
                     56,                 1.0004,                0.54964,                 1.0226,                 0.9686,                0.96255,                0.98804,                0.70889,                 1.0392,                0.48317,                 1.0941,               0.008185,               0.008185,               0.008185
                     57,                0.98923,                0.53805,                 1.0123,                0.95794,                0.97826,                0.98566,                0.70408,                 1.0669,                0.46848,                 1.0969,               0.008152,               0.008152,               0.008152
                     58,                0.99577,                0.53516,                 1.0121,                0.96898,                0.96743,                0.98345,                0.70378,                 1.0436,                0.47643,                 1.0978,               0.008119,               0.008119,               0.008119
                     59,                0.97405,                  0.527,                  1.009,                0.95287,                0.97865,                0.98111,                 0.7004,                 1.0422,                0.46539,                 1.0939,               0.008086,               0.008086,               0.008086
                     60,                0.99247,                 0.5087,                 1.0212,                0.96767,                0.96447,                0.98078,                0.69669,                 1.0616,                0.46364,                 1.1013,               0.008053,               0.008053,               0.008053
                     61,                0.97871,                0.50969,                 1.0232,                0.97504,                0.96284,                0.98956,                 0.7141,                 1.0524,                0.45998,                 1.1004,                0.00802,                0.00802,                0.00802
                     62,                0.98986,                0.50824,                 1.0187,                0.96788,                0.98449,                0.99035,                0.70681,                 1.0808,                0.45703,                 1.1041,               0.007987,               0.007987,               0.007987
                     63,                0.97195,                0.50836,                 1.0244,                0.96153,                0.96102,                0.98195,                0.69893,                 1.0484,                0.47815,                 1.1035,               0.007954,               0.007954,               0.007954
                     64,                0.96968,                0.51673,                 1.0098,                0.96182,                0.97582,                0.98624,                0.69898,                 1.0488,                 0.4594,                 1.1145,               0.007921,               0.007921,               0.007921
                     65,                0.97245,                0.52302,                 1.0086,                0.96921,                0.97858,                0.98636,                0.70847,                 1.0774,                0.45481,                  1.105,               0.007888,               0.007888,               0.007888
                     66,                0.96813,                0.50859,                0.99779,                0.95956,                0.97568,                0.98552,                0.70846,                 1.0762,                0.46611,                 1.1053,               0.007855,               0.007855,               0.007855
                     67,                0.96771,                0.51509,                 1.0025,                0.97634,                0.96937,                0.99069,                0.70729,                 1.0607,                0.44714,                 1.1079,               0.007822,               0.007822,               0.007822
                     68,                0.97951,                0.49779,                  1.005,                0.97987,                0.96751,                0.98804,                0.70561,                 1.0497,                0.44808,                 1.1093,               0.007789,               0.007789,               0.007789
                     69,                0.98287,                0.49623,                 1.0099,                0.97327,                0.96947,                0.98889,                0.71531,                 1.0603,                 0.4444,                  1.105,               0.007756,               0.007756,               0.007756
                     70,                0.94965,                0.50016,                0.99668,                0.97798,                0.96833,                 0.9898,                0.72096,                 1.0412,                0.44684,                 1.0953,               0.007723,               0.007723,               0.007723
                     71,                0.93509,                0.50415,                0.99407,                0.97386,                0.97064,                0.98794,                0.70969,                 1.0557,                0.45621,                 1.1029,                0.00769,                0.00769,                0.00769
                     72,                0.95138,                0.50561,                 1.0057,                0.95986,                0.98066,                0.98772,                0.71807,                 1.0509,                0.46423,                 1.1013,               0.007657,               0.007657,               0.007657
                     73,                 0.9489,                0.49734,                 0.9933,                0.98665,                0.98455,                 0.9944,                0.71377,                 1.1027,                0.43715,                 1.1148,               0.007624,               0.007624,               0.007624
                     74,                 0.9282,                 0.4963,                0.99485,                0.98237,                0.99064,                0.99375,                0.70516,                 1.0783,                0.44589,                 1.1094,               0.007591,               0.007591,               0.007591
                     75,                0.95128,                0.50074,                 1.0087,                0.97669,                0.97244,                0.99199,                0.71155,                 1.0583,                0.44341,                 1.1019,               0.007558,               0.007558,               0.007558
                     76,                0.94948,                0.50225,                 1.0002,                0.97697,                0.95999,                0.99061,                0.69697,                 1.0853,                0.46111,                 1.1092,               0.007525,               0.007525,               0.007525
                     77,                0.93834,                0.49072,                0.99614,                0.97204,                0.98208,                0.99221,                0.71114,                  1.075,                0.43556,                 1.1083,               0.007492,               0.007492,               0.007492
                     78,                0.94648,                0.48137,                0.98836,                0.97579,                0.97721,                0.99069,                0.71335,                 1.1156,                0.43282,                 1.1095,               0.007459,               0.007459,               0.007459
                     79,                0.93874,                 0.4894,                 1.0033,                0.95317,                0.98692,                0.98704,                0.71992,                  1.061,                0.44679,                  1.097,               0.007426,               0.007426,               0.007426
                     80,                0.94529,                0.48248,                 1.0049,                0.94716,                0.98202,                0.98407,                0.69912,                 1.0609,                0.46504,                 1.1044,               0.007393,               0.007393,               0.007393
                     81,                0.91989,                0.49483,                  1.003,                0.96407,                0.97457,                0.99162,                0.70725,                 1.0535,                0.46312,                 1.1012,                0.00736,                0.00736,                0.00736
                     82,                0.94982,                0.48869,                0.99675,                0.97425,                0.97084,                0.99071,                0.70781,                 1.0924,                0.46115,                 1.1094,               0.007327,               0.007327,               0.007327
                     83,                0.93882,                0.50133,                0.98771,                 0.9825,                0.96894,                0.98982,                0.70115,                 1.0617,                0.45998,                 1.1052,               0.007294,               0.007294,               0.007294
                     84,                0.92356,                0.48208,                0.99392,                0.97215,                0.96507,                0.99005,                 0.7114,                 1.0726,                0.45544,                 1.1038,               0.007261,               0.007261,               0.007261
                     85,                0.92526,                0.46001,                0.99078,                0.98815,                0.96122,                0.98672,                0.71366,                 1.0858,                0.45125,                 1.1087,               0.007228,               0.007228,               0.007228
                     86,                0.92396,                 0.4688,                 1.0019,                0.96404,                0.95713,                0.98951,                0.70559,                 1.0364,                0.46244,                 1.1027,               0.007195,               0.007195,               0.007195
                     87,                0.93233,                0.48363,                0.99424,                0.97917,                0.97417,                0.98392,                0.69731,                 1.0462,                 0.4477,                 1.1065,               0.007162,               0.007162,               0.007162
                     88,                 0.9104,                0.47486,                0.97957,                0.97869,                0.96549,                0.98728,                0.70811,                  1.079,                0.43654,                 1.1131,               0.007129,               0.007129,               0.007129
                     89,                0.91697,                0.46911,                0.99215,                0.98296,                0.97091,                0.98928,                0.70812,                 1.0721,                0.45771,                 1.1081,               0.007096,               0.007096,               0.007096
                     90,                0.90708,                0.46709,                 0.9918,                0.96445,                 0.9596,                0.98519,                0.70373,                 1.0525,                0.44924,                 1.1009,               0.007063,               0.007063,               0.007063
                     91,                0.91924,                0.48499,                0.98602,                0.97708,                0.97389,                0.98558,                0.71736,                 1.0557,                0.43384,                 1.0951,                0.00703,                0.00703,                0.00703
                     92,                0.90788,                0.46609,                0.98316,                0.98164,                0.95862,                0.99089,                0.70813,                 1.0499,                0.43806,                  1.105,               0.006997,               0.006997,               0.006997
                     93,                0.91667,                0.46544,                0.99412,                0.97667,                0.97983,                 0.9918,                0.71494,                 1.0514,                0.42471,                 1.1076,               0.006964,               0.006964,               0.006964
                     94,                0.91048,                0.47074,                0.99377,                0.96444,                0.97629,                0.98765,                0.70837,                 1.0623,                0.45109,                 1.1012,               0.006931,               0.006931,               0.006931
                     95,                0.90966,                0.47091,                0.99611,                0.97877,                0.98863,                0.99243,                0.70669,                 1.0874,                0.43829,                 1.1123,               0.006898,               0.006898,               0.006898
                     96,                0.88777,                0.45859,                 0.9788,                0.98578,                0.97372,                0.99148,                0.70203,                 1.0673,                0.42537,                 1.1079,               0.006865,               0.006865,               0.006865
                     97,                0.89412,                0.46382,                0.97497,                0.96715,                0.98532,                 0.9903,                0.71508,                 1.0751,                0.42755,                 1.1052,               0.006832,               0.006832,               0.006832
                     98,                0.89398,                0.45577,                0.97992,                0.97829,                0.97289,                0.99075,                0.71751,                 1.0592,                0.41929,                 1.1068,               0.006799,               0.006799,               0.006799
                     99,                 0.8765,                0.43835,                0.97868,                0.97759,                0.97719,                0.99006,                0.71451,                 1.0467,                0.42109,                 1.0965,               0.006766,               0.006766,               0.006766
                    100,                0.90504,                0.46292,                0.97677,                0.95755,                 0.9832,                0.99078,                0.71693,                  1.064,                0.43228,                 1.1002,               0.006733,               0.006733,               0.006733
                    101,                0.88584,                 0.4516,                0.98336,                0.96413,                0.98818,                0.99199,                0.72044,                 1.0753,                0.42219,                 1.1038,                 0.0067,                 0.0067,                 0.0067
                    102,                0.88045,                0.44905,                0.98424,                0.97786,                 0.9805,                0.99252,                 0.7099,                 1.0785,                0.43032,                 1.1021,               0.006667,               0.006667,               0.006667
                    103,                0.87296,                0.45373,                0.97731,                0.98856,                 0.9679,                0.98975,                0.69385,                 1.0934,                0.45073,                 1.1162,               0.006634,               0.006634,               0.006634
                    104,                0.86406,                0.44145,                0.96754,                0.97477,                0.97432,                0.98952,                0.70966,                 1.0754,                 0.4268,                 1.1108,               0.006601,               0.006601,               0.006601
                    105,                0.87592,                0.44431,                0.96323,                0.96516,                0.97797,                0.99108,                0.70169,                 1.0938,                0.43959,                 1.1172,               0.006568,               0.006568,               0.006568
                    106,                0.88329,                0.44775,                0.96684,                0.97744,                0.97121,                0.99024,                0.69453,                 1.0943,                0.45407,                 1.1122,               0.006535,               0.006535,               0.006535
                    107,                 0.8616,                0.43876,                 0.9703,                 0.9815,                0.96728,                 0.9923,                0.70797,                 1.0801,                0.44193,                 1.1113,               0.006502,               0.006502,               0.006502
                    108,                0.86083,                 0.4436,                 0.9657,                  0.983,                0.96099,                0.99065,                0.71051,                 1.0889,                0.42873,                 1.1136,               0.006469,               0.006469,               0.006469
                    109,                0.86822,                 0.4443,                0.98104,                0.96218,                0.97674,                0.99062,                 0.7049,                 1.0869,                0.43837,                 1.1256,               0.006436,               0.006436,               0.006436
                    110,                 0.8405,                0.44333,                0.96773,                0.96507,                0.98254,                0.98867,                0.69648,                 1.0943,                0.43955,                 1.1194,               0.006403,               0.006403,               0.006403
                    111,                0.87345,                 0.4508,                0.97504,                0.97133,                0.97052,                0.98846,                0.70932,                 1.0957,                0.43897,                 1.1241,                0.00637,                0.00637,                0.00637
                    112,                0.84879,                0.43208,                0.97807,                0.95921,                0.98258,                0.98645,                 0.7009,                 1.0762,                0.42685,                 1.1123,               0.006337,               0.006337,               0.006337
                    113,                0.84818,                0.42546,                0.96761,                0.97687,                0.97395,                0.98939,                0.70524,                 1.0947,                0.43672,                 1.1195,               0.006304,               0.006304,               0.006304
                    114,                0.83596,                 0.4307,                0.96509,                0.98831,                0.96448,                0.98737,                0.69753,                 1.0915,                 0.4492,                 1.1207,               0.006271,               0.006271,               0.006271
                    115,                 0.8625,                0.44118,                0.97092,                0.98907,                0.96969,                0.98969,                0.68643,                 1.1023,                0.44129,                 1.1263,               0.006238,               0.006238,               0.006238
                    116,                0.84713,                0.42762,                0.96047,                0.98336,                0.97169,                0.99088,                0.71764,                 1.0868,                 0.4159,                 1.1144,               0.006205,               0.006205,               0.006205
                    117,                0.84911,                0.43065,                0.96729,                0.98466,                0.97006,                0.99013,                0.71713,                 1.0826,                0.42189,                 1.1125,               0.006172,               0.006172,               0.006172
                    118,                0.84619,                0.42582,                 0.9721,                0.96817,                0.97398,                0.98619,                0.70865,                 1.0736,                0.42909,                  1.115,               0.006139,               0.006139,               0.006139
                    119,                0.83669,                0.43051,                0.96399,                0.97149,                0.97504,                0.98874,                0.70897,                 1.0731,                0.42737,                 1.1161,               0.006106,               0.006106,               0.006106
                    120,                0.83471,                0.42395,                0.95653,                 0.9791,                0.97253,                0.99072,                 0.7011,                 1.0963,                0.42063,                 1.1321,               0.006073,               0.006073,               0.006073
